date,passengers
111年2月14日,1804237
111年2月15日,1787848
111年2月16日,1820065
111年2月17日,1825365
111年2月18日,1952981
111年2月19日,1410710
111年2月20日,1081506
111年2月21日,1867517
111年2月22日,1928367
111年2月23日,1944185
111年2月24日,1952659
111年2月25日,2108924
111年2月26日,1567981
111年2月27日,1461108
111年2月28日,1341660
111年3月01日,1896846
111年3月02日,1900871
111年3月03日,1920435
111年3月04日,2089390
111年3月05日,1597408
111年3月06日,1261514
111年3月07日,1896781
111年3月08日,1964087
111年3月09日,1987727
111年3月10日,1995082
111年3月11日,2179350
111年3月12日,1732307
111年3月13日,1418461
111年3月14日,1913369
111年3月15日,1961952
111年3月16日,1978813
111年3月17日,1994243
111年3月18日,2138282
111年3月19日,1658463
111年3月20日,1385940
111年3月21日,1913872
111年3月22日,1950221
111年3月23日,1990318
111年3月24日,1979733
111年3月25日,2172261
111年3月26日,1595364
111年3月27日,1246748
111年3月28日,1919316
111年3月29日,1940394
111年3月30日,1969018
111年3月31日,1958461
111年4月01日,2041530
111年4月02日,1205883
111年4月03日,1016715
111年4月04日,1098732
111年4月05日,1012555
111年4月06日,1770234
111年4月07日,1737357
111年4月08日,1860654
111年4月09日,1294835
111年4月10日,1087892
111年4月11日,1652287
111年4月12日,1700189
111年4月13日,1706433
111年4月14日,1701769
111年4月15日,1803434
111年4月16日,1208396
111年4月17日,974513
111年4月18日,1612065
111年4月19日,1652902
111年4月20日,1639380
111年4月21日,1590832
111年4月22日,1653951
111年4月23日,1055315
111年4月24日,852233
111年4月25日,1425495
111年4月26日,1452184
111年4月27日,1449585
111年4月28日,1434115
111年4月29日,1496982
111年4月30日,977575
111年5月01日,763100
111年5月02日,953925
111年5月03日,1368409
111年5月04日,1364908
111年5月05日,1321451
111年5月06日,1365336
111年5月07日,843847
111年5月08日,651676
111年5月09日,1174247
111年5月10日,1196447
111年5月11日,1205045
111年5月12日,1194148
111年5月13日,1247363
111年5月14日,754205
111年5月15日,629066
111年5月16日,1146358
111年5月17日,1153048
111年5月18日,1173673
111年5月19日,1155033
111年5月20日,1243470
111年5月21日,840461
111年5月22日,661207
111年5月23日,1131277
111年5月24日,1161519
111年5月25日,1177437
111年5月26日,1187854
111年5月27日,1277760
111年5月28日,888888
111年5月29日,759145
111年5月30日,1209812
111年5月31日,1242013
